feature_ID	mz	rtime
114.9610973_198.5107319	114.9610973	198.5107319
114.9645088_190.2766509	114.9645088	190.2766509
114.9673821_193.2957103	114.9673821	193.2957103
114.9715765_263.9989631	114.9715765	263.9989631
115.0174766_41.66529563	115.0174766	41.66529563
115.028985_274.7452688	115.028985	274.7452688
115.0289868_31.4725256	115.0289868	31.4725256
115.0393016_272.5950307	115.0393016	272.5950307
115.050613_275.0836643	115.050613	275.0836643
115.0636034_70.07061389	115.0636034	70.07061389
115.0699098_73.5042802	115.0699098	73.5042802
115.0757275_258.4095952	115.0757275	258.4095952
115.0869701_161.9131336	115.0869701	161.9131336
115.0950568_34.94669366	115.0950568	34.94669366
115.0950592_265.4816695	115.0950592	265.4816695
115.1121035_229.3655235	115.1121035	229.3655235
115.1233751_273.1038186	115.1233751	273.1038186
115.5223188_179.8829582	115.5223188	179.8829582
115.5276851_188.9129608	115.5276851	188.9129608
115.5789681_172.1060777	115.5789681	172.1060777
115.7371981_125.628552	115.7371981	125.628552
115.9433134_215.1850089	115.9433134	215.1850089
115.9644397_191.3296473	115.9644397	191.3296473
115.9682357_205.7679311	115.9682357	205.7679311
115.9795437_217.1419478	115.9795437	217.1419478
116.0476883_128.3943602	116.0476883	128.3943602
116.0617655_125.6355408	116.0617655	125.6355408
116.0709213_140.166907	116.0709213	140.166907
116.094152_127.6882544	116.094152	127.6882544
116.1073323_263.2678689	116.1073323	263.2678689
116.4059969_123.9417106	116.4059969	123.9417106
116.5245272_174.5465247	116.5245272	174.5465247
116.5468073_221.6072761	116.5468073	221.6072761
116.8912592_74.99161874	116.8912592	74.99161874
116.9519938_272.7640804	116.9519938	272.7640804
116.9623078_251.6406875	116.9623078	251.6406875
116.9677811_244.2157744	116.9677811	244.2157744
116.9722353_200.1675593	116.9722353	200.1675593
117.0249441_171.8087664	117.0249441	171.8087664
117.0550356_266.5072079	117.0550356	266.5072079
117.0661831_269.6350044	117.0661831	269.6350044
117.068015_126.6078919	117.068015	126.6078919
117.0743312_140.2072516	117.0743312	140.2072516
117.0771896_126.0627651	117.0771896	126.0627651
117.0913446_237.0796074	117.0913446	237.0796074
117.1026068_262.0948434	117.1026068	262.0948434
117.1389594_182.7418566	117.1389594	182.7418566
117.935217_279.5269783	117.935217	279.5269783
117.9598672_180.3735176	117.9598672	180.3735176
118.0167503_210.5308156	118.0167503	210.5308156
118.0404119_278.1559941	118.0404119	278.1559941
118.0622339_125.8537295	118.0622339	125.8537295
118.065486_146.2853856	118.065486	146.2853856
118.068862_255.6592613	118.068862	255.6592613
118.0762519_129.4039429	118.0762519	129.4039429
118.0865908_124.6904935	118.0865908	124.6904935
118.0949375_226.948363	118.0949375	226.948363
118.0996591_82.36753047	118.0996591	82.36753047
118.110388_128.1814496	118.110388	128.1814496
118.1229853_168.0460946	118.1229853	168.0460946
118.9431794_266.7915478	118.9431794	266.7915478
118.9602203_250.9814126	118.9602203	250.9814126
118.9677246_248.4667863	118.9677246	248.4667863
119.014041_173.82463	119.014041	173.82463
119.0257014_152.6648576	119.0257014	152.6648576
119.0495541_103.0067972	119.0495541	103.0067972
119.0703919_274.8965188	119.0703919	274.8965188
119.0837083_134.9618696	119.0837083	134.9618696
119.0859173_263.147724	119.0859173	263.147724
119.090016_124.4175041	119.090016	124.4175041
119.1200712_278.988066	119.1200712	278.988066
119.1263879_140.9784062	119.1263879	140.9784062
119.5142643_177.7630337	119.5142643	177.7630337
119.5232746_197.8446202	119.5232746	197.8446202
119.95748_210.3537464	119.95748	210.3537464
120.0036133_114.1269453	120.0036133	114.1269453
120.025894_160.2008651	120.025894	160.2008651
120.0560462_265.001447	120.0560462	265.001447
120.0609397_166.2106146	120.0609397	166.2106146
120.0659432_120.3385379	120.0659432	120.3385379
120.0811514_99.62048446	120.0811514	99.62048446
120.0908871_127.5562595	120.0908871	127.5562595
120.1022875_101.961285	120.1022875	101.961285
120.9691009_149.7639189	120.9691009	149.7639189
121.0235928_142.1639171	121.0235928	142.1639171
121.028793_272.6984159	121.028793	272.6984159
121.0651688_276.9438572	121.0651688	276.9438572
121.0692741_120.1370782	121.0692741	120.1370782
121.0782428_100.2310452	121.0782428	100.2310452
121.0845264_101.2705532	121.0845264	101.2705532
121.1014828_271.048501	121.1014828	271.048501
121.515088_130.4977467	121.515088	130.4977467
121.9570904_258.9311671	121.9570904	258.9311671
121.9665373_221.8757793	121.9665373	221.8757793
121.9747895_70.88182584	121.9747895	70.88182584
122.0229295_167.458415	122.0229295	167.458415
122.0253036_187.1558299	122.0253036	187.1558299
122.0603978_270.213167	122.0603978	270.213167
122.0967809_70.31728919	122.0967809	70.31728919
122.5474996_166.7063189	122.5474996	166.7063189
122.9248928_91.68665296	122.9248928	91.68665296
122.9644191_146.1962393	122.9644191	146.1962393
123.0207949_165.9984867	123.0207949	165.9984867
123.0307183_168.6772529	123.0307183	168.6772529
123.0407182_163.2152319	123.0407182	163.2152319
123.0444119_270.1394522	123.0444119	270.1394522
123.0478471_59.06719484	123.0478471	59.06719484
123.0491125_161.6826049	123.0491125	161.6826049
123.0556475_42.64359395	123.0556475	42.64359395
123.0556726_279.7966392	123.0556726	279.7966392
123.0808343_261.7742677	123.0808343	261.7742677
123.0919974_54.45639342	123.0919974	54.45639342
123.1171956_261.3563463	123.1171956	261.3563463
123.5352627_219.9010269	123.5352627	219.9010269
123.6691729_162.7729476	123.6691729	162.7729476
123.9647496_57.68586722	123.9647496	57.68586722
123.9718778_70.58728967	123.9718778	70.58728967
124.0412048_196.1760099	124.0412048	196.1760099
124.0761248_51.9118793	124.0761248	51.9118793
124.0873379_139.4223741	124.0873379	139.4223741
124.2085653_147.8157353	124.2085653	147.8157353
124.5330444_184.9250675	124.5330444	184.9250675
124.956756_176.6601076	124.956756	176.6601076
125.0002449_139.6156815	125.0002449	139.6156815
125.0213441_116.3265882	125.0213441	116.3265882
125.0346842_209.9560426	125.0346842	209.9560426
125.0382974_152.488544	125.0382974	152.488544
125.060142_269.8357537	125.060142	269.8357537
125.0713491_109.1329213	125.0713491	109.1329213
125.0965238_264.4880298	125.0965238	264.4880298
125.0965314_30.71022757	125.0965314	30.71022757
125.1329597_281.7786284	125.1329597	281.7786284
125.5298389_175.1917138	125.5298389	175.1917138
125.5331897_239.8664636	125.5331897	239.8664636
125.964553_188.8299415	125.964553	188.8299415
125.9726664_155.8514139	125.9726664	155.8514139
125.9866491_188.9262841	125.9866491	188.9262841
126.0223587_88.3246002	126.0223587	88.3246002
126.0300204_173.2092151	126.0300204	173.2092151
126.0335545_187.9501524	126.0335545	187.9501524
